id,spec_section,tier,domain,requirement
VIS-001,§2,Principle,Product Architecture,"Product is individual-first Personal AI Companion; team/exec intelligence is a by-product surface, never the individual pitch"
VIS-002,§2,Baseline,Sync & Integrations,"Wedge is Engineering: connectors exist for Claude Code (local/OTel), Cursor, GitHub Copilot, plus Anthropic Console and OpenAI admin APIs"
VIS-003,§2,MVP,Notifications,"The voluntary-return bet is testable: digest delivery + return-rate instrumentation exist on the founder dogfood org"
PRIN-001,§4.1,Principle,UX / UI,"Lead with discovery, never deficiency: headline copy frames 'what you haven't tried', deficiency language only inside expandable diagnostics"
PRIN-002,§4.2,Principle,UX / UI,"For individuals the 0–100 number is demoted to an expandable diagnostic; band + narrative + next step lead; numbers stay for team/exec surfaces"
PRIN-003,§4.3,Principle,AI & Recommendation Engine,"Honesty over completeness: ratio components omitted when a side is missing; no signal → no row; directional claims need ≥2 corroborating signals; every inferred number carries a measured/modeled/directional/not_measured confidence tier"
PRIN-004,§4.4,Principle,Security,"Privacy enforced at the data layer such that individual data structurally cannot reach a manager (not a UI/policy toggle)"
PRIN-005,§4.5,Principle,Product Architecture,"One recommendation engine with tiered outputs (personal / team / exec) — never three engines"
PRIN-006,§4.6,Principle,AI & Recommendation Engine,"Content is data, logic is code: catalog grows by reviewed PRs inserting human-written rows; evaluator is a closed vocabulary of comparators; no LLM selects or generates guidance (G6)"
PRIN-007,§4.7,Principle,UX / UI,"Daily value decoupled from daily data: fresh content daily is fine; never a streak nag or same-day-score promise (recompute anchors previous UTC day)"
PRIN-008,§4.8,Principle,Documentation,"Prose is a claim surface: every product claim in copy/legal/spec fact-checked against code by a non-author reviewer before shipping"
PRIN-009,§4.9,Principle,Product Architecture,"Evolve, don't rewrite: every V4 capability specified as an extension of a named existing module wherever one exists"
WF-001,§5.1,V1-gated,Product Architecture,"A member of a multi-person Team org receives their own personal self-view (Companion) — closing the org-of-one-only branch in the dashboard; gated on the sub-case-C ADR (§9.4)"
WF-002,§5.2,MVP,UX / UI,"Onboarding inverted: companion pitch before connect step in the onboarding wizard"
WF-003,§5.2,MVP,UX / UI,"Aha moment: after first sync the Growth Journey shows maturity level (Dormant/Trial/Adopted/Embedded/Amplified) + one next step — never 'Score 74'"
WF-004,§5.2,Baseline,Notifications,"Weekly digest is the habit channel: personal-best detection (strict isNewBest), gated recommendations, staleness honesty, RFC-8058 one-click unsubscribe"
WF-005,§5.2,MVP,UX / UI,"Daily value = a single fresh nudge card drawn from the last sync — never a data-freshness requirement"
WF-006,§5.2,MVP,Notifications,"Digest and in-app Growth Journey reuse the same content assembly (deriveAttention in src/lib/score-insights.ts; digest-content.ts is a caller)"
WF-007,§5.3,Baseline,Team Management,"Manager onboarding: invite-by-link; cold-start honesty renders 'not enough data yet — invite N more' (EmptyState), never a falsely-low chart"
WF-008,§5.4,Baseline,Reporting,"Executive surface: 8 board numbers with confidence tiers, QoQ trajectory with honest notComparable, plateau detection, MATURITY_NOT_SCORED refusal list"
WF-009,§5.4,V1,Reporting,"Monthly Executive narrative one-pager (memo, not chart wall) as export and email"
TEL-001,§6.1,Frozen,Database,"metric_records natural upsert key (org_id, subject_id, metric_key, day, dim); writes are ON CONFLICT DO UPDATE; org_id in PK"
TEL-002,§6.1,Frozen,Database,"subject_day_signals: 24-slot UTC-hour histogram + peak_concurrency; NULL when vendor lacks intra-day grain (absence never fabricated)"
TEL-003,§6.1,Frozen,Database,"29 canonical metric keys across 11 families in src/contracts/metrics.ts mirrored by seeded metric_catalog table (grown from 26/10 via ADRs — agentic, markers)"
TEL-004,§6.1,Frozen,AI & Recommendation Engine,"Attribution ladder person > key_project > account; derived values inherit the LOWEST attribution of inputs (lowestAttribution)"
TEL-005,§6.1,Frozen,Sync & Integrations,"7 honesty-gap kinds are first-class connector output collected in connector_runs.gaps and surfaced in-product"
TEL-006,§6.1,Frozen,Database,"Identity: subjects ↔ people via identities; auto-resolution only for person-kind subjects with unambiguous email; else manual /reconcile"
TEL-007,§6.1,Frozen,Billing & Entitlements,"tracked_user = identity-resolved person with ≥1 metric_record in period; unresolved subjects surfaced, never billed"
TEL-008,§6.2,V1,Sync & Integrations,"Three data channels: vendor API connectors (team/billable), Claude Code Manual Sync (individual-plan users), and a Claude Code OTel receiver (measured accept/reject + active time)"
TEL-009,§6.3,MVP,Sync & Integrations,"Wire remaining polled-but-unused vendor fields into metric_records (zero new privacy surface)"
TEL-010,§6.3,V1,Sync & Integrations,"Acceptance patterns: keep native Cursor/Copilot fields; NEVER label a local-log proxy as 'accept rate'; true accept/reject arrives only via OTel"
TEL-011,§6.3,MVP,AI & Recommendation Engine,"Workflow diversity (feature_used dim breadth) promoted to a first-class signal"
TEL-012,§6.3,V1,Sync & Integrations,"Context-usage signal (context_window etc.) OTel-gated, directional, subject to the ≥2-signal rule before driving a rec"
TEL-013,§6.3,Future,Sync & Integrations,"Planning-behaviour signal: no honest source today; Future, OTel-gated (must NOT exist yet)"
TEL-014,§6.3,Future,Sync & Integrations,"Conversation-structure signal: Future, needs §16 design answer first (must NOT exist beyond session-shape stats)"
TEL-015,§6.3,Frozen,Sync & Integrations,"Deliberate field drops stay dropped without their own ADR: Copilot ai_adoption_phase; Cursor acceptedLinesAdded/Deleted, totalApplies, plan-mix fields"
TEL-016,§6.4,MVP,Data Confidence,"Per-person signal-coverage indicator distinguishing 3-source from 1-source people; rec engine must not silently recommend less to under-instrumented people"
TEL-017,§6.4,Kill,Sync & Integrations,"Kills: no 'true accept/reject' claims from local-log proxies; no always-on resident collector; no 'time saved' telemetry category"
ENT-001,§6.4,V1,Database,"Roles entity: real FK target for catalog applicable_roles; engineering-only values at launch; ships before any role-specific content"
ENT-002,§6.4,V1,Database,"Recommendation catalog as seeded versioned reference table (metric-catalog precedent) with §8.2 metadata columns"
ENT-003,§6.4,MVP,Database,"Rec interaction state: snooze/dismiss/mark-as-tried per (org, person, rec); self-view-only"
ENT-004,§6.4,Future,Database,"Outcomes entity stays Future/demand-gated; bounded to rec engagement + next-period signal movement; must NOT ship hollow (verify absent)"
ENT-005,§6.4,V1,Database,"recommendation_exposure log per (org,person,rec,surface,day): org-scoped, self-view-only, no manager/admin read route, never on team view, purge-registered before people, idempotent per day; deterministic holdout/variant assignment with empty registry at launch"
ENT-006,§6.4,V1,Database,"Capability graph: domains/capabilities/capability_signals/capability_dependencies as seeded GLOBAL reference tables; 9 outcome-named engineering capabilities bound only to already-ingested signals; shallow acyclic DAG; relational, not a graph DB; recommendation_catalog.target_capabilities additive column linking all 7 recs"
ENT-007,§6.4,V1,Database,"user_capability_state per (org,person,capability): mastery/confidence/staleness/next/jsonb breakdown; self-view-only, three registrations, purged before people; parallel reducer in poller score-recompute with org-batched reads; renders directional unless ≥2 corroborating OTel markers make it measured; zero evidence → no row"
ENT-008,§6.4,V1,Database,"Missions: missions/mission_steps global reference (3 starters) + mission_progress org-scoped self-view; opt-in start route is the ONLY write; completion detected by capability-state reducer on measured mastery crossings (isMissionComplete), never a click; no XP/streak/league/points column or copy (schema-shape + banned-phrasing tests)"
SCORE-001,§7.1,Frozen,AI & Recommendation Engine,"Scoring engine honesty verified: ratio-side missing → component omitted; nothing consumed → null, no row written (src/scoring/evaluate.ts)"
SCORE-002,§7.1,Baseline,AI & Recommendation Engine,"Three global presets (adoption/fluency/efficiency) stay, published in score-definitions.md"
SCORE-003,§7.1,MVP,UX / UI,"Individual surface: raw 0–100 behind an expander; person sees band + narrative + next step"
SCORE-004,§7.1,Kill,UX / UI,"A single blended individual 'AI Health' number is killed — must not exist anywhere"
SCORE-005,§7.1,V1,AI & Recommendation Engine,"Marker-level proficiency breakdown (self-view), capped directional until the OTel receiver provides measured markers"
SCORE-006,§7.1,MVP,Reporting,"Maturity model is the Team+Exec pillar and gets distribution (export, email) rather than redesign"
SCORE-007,§7.2,Principle,Data Confidence,"Benchmarks are three distinct claim lanes (own past self / org peers aggregate-only / outside world) never blurred; external norms stay draft-labeled 'Revealyst modeled estimate (unverified)' until founder-verified; cross-org k-anonymous gated on consent volume"
SCORE-008,§7.3,MVP,AI & Recommendation Engine,"Insight taxonomy named and consistent (data-hygiene/adoption/effectiveness/spend/agentic-transition/early-warning/narrative/milestone) with the milestone/positive kind added"
SCORE-009,§7.3,Kill,UX / UI,"No fixed personality label shown to an individual (segmentFor vocabulary); segments survive only as aggregate cohort lens for managers"
COACH-001,§8.2,V1,AI & Recommendation Engine,"Catalog rows (title, body, applicableRoles, applicableTools, requiredSignals, benefit, difficulty, confidence, resources, signalGroup, taxonomy kind, action type) live in a seeded versioned reference table; growing it is a reviewed PR"
COACH-002,§8.2,Principle,AI & Recommendation Engine,"Evaluator stays a closed vocabulary over measured facts; requiredSignals structured from that vocabulary; no LLM in selection or generation"
COACH-003,§8.2,V1,Backend,"Catalog perf floor: ONE per-org catalog read + in-memory per-person evaluation; never N per-person round trips"
COACH-004,§8.2,V1,AI & Recommendation Engine,"Deterministic computeUtility replaces fixed impact:1 — named exported weights (0.35 capabilityGap + 0.20 benefit + 0.15 confidence + 0.10 roleToolFit + 0.10 novelty − 0.05 difficulty − fatigue); no ML/LLM; output-equivalence guard proves uniform metadata reduces to weakest-first; cap + signalGroup dedupe unchanged"
COACH-005,§8.2,V1,AI & Recommendation Engine,"Stage-1 eligibility filter: role/tool applicability + capability-prerequisite gate that fails closed (missing state = not mastered), applied consistently to dashboard and digest"
COACH-006,§8.2,V1,UX / UI,"Each surfaced rec carries a computed 'why this' line derived from the dominant utility term (cannot drift from ranking) and an honest confidence disclosure ('Based on N connected sources')"
COACH-007,§8.2,V1,Testing & CI,"Digest and dashboard provably share the same rec source: a shared-source test asserts identical selection + order"
COACH-008,§8.2,MVP,UX / UI,"Suggested-action taxonomy is exactly link-out-doc / in-product-setting / deep-link-to-vendor-settings; no 'Revealyst does X for you' copy (no third-party write automation)"
COACH-009,§8.3,MVP,AI & Recommendation Engine,"Rec interaction state wired into coaching UI: snooze/dismiss/mark-as-tried; managers never see individual interaction state"
GJ-001,§8.4,MVP,Growth Companion,"Growth Journey card assembles maturity level + one next step + why + benefit from shipped outputs; no new storage for v0; never a third ladder (org matures, person progresses — only two scales)"
GJ-002,§8.4,MVP,Growth Companion,"Milestone catalog (first agent session, breadth threshold, N-week cadence) surfaced immediately in-app, not digest-only; extends isNewBest plumbing"
GJ-003,§8.4,MVP,Growth Companion,"'No daily streak' decision recorded: weekly consistency with forgiveness narrative, or none"
GJ-004,§8.4,V1,Growth Companion,"'Next best thing to learn' as ONE persistent card (not regenerated daily), riding catalog + rec interaction state"
GJ-005,§8.4,V1,Growth Companion,"Capability profile card: positive-first decomposition of the ONE proficiency band (never a third ladder), self-view, backed by user_capability_state"
GJ-006,§8.4,V1,Growth Companion,"Missions rendered as opt-in MissionCard (Start → 'N of M steps reached' → grounded completion)"
GJ-007,§8.4,V1,Growth Companion,"Learning-path content: static curricula keyed to band, merged with learning goals into one content model sequencing the catalog"
GJ-008,§8.4,Kill,Growth Companion,"Duolingo values-only: clear level, one next step, visible progress, milestone recognition — but NO streak flames, XP, leagues, hearts"
POP-001,§9.1,V1-gated,Growth Companion,"Extend existing self-view machinery (PersonalSelfView + digest personal lane) to every person inside or outside a team — not a parallel system"
POP-002,§9.2,Frozen,Security,"assertTeamOnlyPseudonymized throws if a surfaced score carries a real name, a segment lists members, or a shared-account flag exposes an account identifier; completeness is test-enforced (surface registry)"
POP-003,§9.2,Frozen,Authentication & Authorization,"orgs.visibilityMode 'private' stays the permanent default; individual recs stay invisible to managers even when name visibility is loosened"
POP-004,§9.2,MVP,Team Management,"Champion/blocker surfacing has a MIN_PEOPLE floor before naming an implicit champion in a small team"
POP-005,§9.2,V1,Team Management,"Capability coverage: count-only aggregate rollup per capability in team Training-opportunities section; MIN_PEOPLE-floored with below-floor capabilities dropped entirely; row prop type carries no person id/name; exec-memo coverage line via composeExecReport"
POP-006,§9.3,Frozen,Shared Accounts,"Shared accounts: guidance-first migration path; detection flags aggregate-only; count resolved identities only; unresolved surfaced never billed"
POP-007,§9.4,V1-gated,Security,"Sub-case-C ADR prerequisites: (a) provable exclusion audit predicate with test-enforced completeness, (b) dual-source dedup (admin-API + local agent person never double-counts), (c) surfaced-not-billed; Companion cannot ship inside Team orgs until the ADR exists"
SYNC-001,§10,Baseline,Sync & Integrations,"Manual Sync kept as the MVP data path: @revealyst/agent two-command copy-paste, streaming parser, window pinning, post-commit recompute enqueue, SyncStatusBadge + staleness banner at 14 days, sync_window_incomplete honesty gap"
SYNC-002,§10,MVP,UX / UI,"Companion daily content draws on the last sync; data freshness honestly badged; never a daily sync nag"
SYNC-003,§10,MVP,UX / UI,"Same-click sync reward from already-computed data ('this sync captured N sessions across M days — here's one thing you did well')"
SYNC-004,§10,MVP,UX / UI,"Inline 'what this sync sends' transparency panel after every sync: event/day counts + allowlisted field names derived from the device allowlist"
SYNC-005,§10,MVP,UX / UI,"The two sync mental models (one-click connector poll vs run-a-CLI-command) separated in copy on /connections"
SYNC-006,§10,Kill,Security,"Never a drag-and-drop log upload flow; never a browser-persistent-grant sync"
SYNC-007,§10,Future,Sync & Integrations,"Resident/cadence-aware agent demoted not dead; go/no-go decided by last_success_at cadence telemetry"
MVP-001,§11.2,MVP,Growth Companion,"Personal Companion surface: Growth Journey card + persistent coaching card + daily nudge card (one card, not a dashboard) replaces score-first PersonalSelfView layout"
MVP-002,§11.2,MVP,AI & Recommendation Engine,"Optimization metadata on recs (impact/difficulty/confidence/action type) as a type extension of the static map (G6-compliant)"
MVP-003,§11.2,MVP,Team Management,"Team Intelligence consolidation: ~17 panels fold into ~5 cards; Exec 8-number report gets distribution"
MVP-004,§11.2,MVP,Notifications,"Budget-threshold EMAIL alerts riding the SES sender (in-app alerts already shipped)"
MVP-005,§11.2,MVP,Reporting,"Within-org percentile lens + board-ready CSV export (percentile() from usage-distribution, not the external-benchmark lane)"
MVP-006,§11.2,MVP,Notifications,"Digest extended as the Growth-Journey delivery vehicle (digest-content.ts extension)"
V1-001,§11.3,V1,Sync & Integrations,"Claude Code OTel receiver: OTLP POST /v1/metrics + /v1/logs reusing the agent device-token scheme; pure decoder tested against real captured fixtures; content flags off / scrubbing"
V1-002,§11.3,V1,Reporting,"Renewal reminders: manually-entered contract dates honestly labeled unverifiable; T-30/T-7 emails; CAS state"
NOT-001,§11.5,NOT,AI & Recommendation Engine,"No per-user LLM-generated coaching text anywhere"
NOT-002,§11.5,NOT,Security,"No browser extension, desktop proxy, or capture beyond sanctioned connectors/agent/OTel"
NOT-003,§11.5,NOT,Security,"No prompt-content ingestion in Team mode, ever"
NOT-004,§11.5,NOT,AI & Recommendation Engine,"No time-saved / ROI-% / AI-helps-hurts verdicts; expected impact renders qualitative or adoption-based, never hours/dollars"
NOT-005,§11.5,NOT,AI & Recommendation Engine,"No per-person quality, velocity, or AI-vs-human authorship scores"
NOT-006,§11.5,NOT,Data Confidence,"No shadow-AI estimation — state the gap, never model it (darkSeat: not_measured pattern)"
NOT-007,§11.5,NOT,Authentication & Authorization,"No manager visibility into any individual recommendation, coaching content, or interaction state (code-enforced)"
NOT-008,§11.5,NOT,AI & Recommendation Engine,"No formula DSL / per-tenant custom scoring expressions; Custom Index Builder stays closed-vocabulary, never person-level"
NOT-009,§11.5,NOT,Infrastructure,"No enterprise procurement machinery (SSO/SAML/SCIM, MDM, HRIS sync) without a first Enterprise customer"
NOT-010,§11.5,NOT,AI & Recommendation Engine,"No DORA/dev-intelligence suite; no GitHub outcome layer without its own ADR + DPA review"
NOT-011,§11.5,NOT,Growth Companion,"No 'AI news' editorial feed"
NOT-012,§11.5,NOT,AI & Recommendation Engine,"No third-party write automation ('Revealyst does X for you' in someone else's tool)"
NOT-013,§11.5,NOT,AI & Recommendation Engine,"No 'Ask AI' NL-query chat surface"
NOT-014,§11.5,NOT,Billing & Entitlements,"No second B2C funnel for Personal mode (org-of-one architecture stands)"
NOT-015,§11.5,NOT,AI & Recommendation Engine,"No non-engineering role libraries in MVP or V1"
NOT-016,§11.5,NOT,Notifications,"No Slack/Teams delivery channel in MVP/V1 (email first)"
NOT-017,§11.5,NOT,Growth Companion,"No literal Duolingo mechanics: streaks without forgiveness, XP, leagues, hearts"
NOT-018,§11.5,NOT,Infrastructure,"No Kafka / ClickHouse / separate ML service / Chinese-vendor connectors"
NOT-019,§11.5,NOT,AI & Recommendation Engine,"No capability-program over-build: relational graph only, deterministic ranker (no ML/bandits/BKT), no fixed persona labels, no XP/streaks/leagues, no LMS/course/certification layer"
BILL-001,§11.5,Frozen,Billing & Entitlements,"Pricing unchanged: $0 Personal forever, $2/tracked-user/mo Team, free band ≤5 (FREE_TRACKED_USER_LIMIT single source of truth), Paddle MoR"
BILL-002,§14,Frozen,Billing & Entitlements,"Seat metering correctness: compare-and-set quantity in Postgres BEFORE Paddle PATCH; record-then-charge; never double-charge"
BILL-003,§15.2,Frozen,Billing & Entitlements,"Free-band paywall gates BOTH page shell and JSON APIs (handleApi 402 default; allowOverFreeBand opt-out only for upgrade/portal)"
UX-001,§12.1,MVP,UX / UI,"Three audience-scoped surfaces (Personal Companion / Team Intelligence / Executive one-pager); everything else is a card, a settings page, or gone"
UX-002,§12.1,MVP,Reporting,"Executive surface: monthly narrative one-pager (8 numbers + composed narrative) with Spend Governance folded in as a line, not a page"
UX-003,§12.2,MVP,Navigation,"Fold the thin /people and /teams rosters into Team Intelligence + Settings"
UX-004,§12.2,MVP,Navigation,"Kill standalone correlation/anomaly panels (synthesis stays inside the narrative)"
UX-005,§12.2,MVP,Navigation,"Demote /indexes (Custom Index Builder) out of navigation prominence"
UX-006,§12.3,Principle,UX / UI,"Honest empty and degraded states everywhere: EmptyState, staleness banners, notComparable patterns; cold-start team sees 'invite N more'"
UX-007,§12.4,Principle,UX / UI,"Positive-first framing in every headline string; deficiency language only inside expandable diagnostics"
UX-008,§12.5,Frozen,Design System,"Design system unchanged: Tailwind v4 + shadcn base-nova on Base UI primitives; shared components in src/components; pages get session + org scope only via src/lib/api-context.ts"
UX-009,§12.6,Principle,Documentation,"Copy discipline: user-facing prose in glossary-style constant modules (*-glossary.ts, *-copy.ts); connector claims derive from src/connectors/registry.ts, never hard-coded"
PRIV-001,§13,Frozen,Security,"'No prompt content. Ever.' enforced at three independent points: (1) on-device allowlist parser never reads denylisted fields; (2) server-side MAX_DIM_LENGTH=128 + control-character rejection; (3) OTel receiver content-flags-off + scrubbing"
PRIV-002,§13,Principle,Security,"Team-mode privacy is self-view-only by legal analysis (EDPB 05/2020, BetrVG §87): no manager-readable surface for individual data"
PRIV-003,§13,Frozen,Security,"Self-view-only enforced by audit predicate (assertTeamOnlyPseudonymized), generalized + completeness-test-enforced; named reveal gated behind explicit logged admin action (orgs.visibilityMode + audit_log)"
PRIV-004,§13,Frozen,Security,"Credentials: AES-256-GCM envelope, versioned Worker-secret KEK, AAD binds orgId:connectionId:kind; no plaintext credential column; never claim 'KMS' in any copy"
PRIV-005,§13,Frozen,Security,"Retention/deletion: raw payloads purged ~90d; account deletion purges via CI-enforced completeness tripwire; every new person-scoped table registers into the sweep on day one"
PRIV-006,§13,MVP,Security,"Public inspectable 'what we collect' schema page generated from the actual device allowlist (not a paraphrase)"
PRIV-007,§13,MVP,Data Confidence,"Opt-in rate instrumented as a leading indicator ('privacy enables adoption' as a measured hypothesis)"
PRIV-008,§13,Kill,Security,"Kills: no Team-org design where person-level desktop/OTel data reaches a manager-visible surface; no org-deployed endpoint agents/MDM; no raw log/folder upload"
MET-001,§14,MVP,Data Confidence,"MVP exit gate measurable: sustained N-week weekly-digest open/return rate on the founder dogfood org (default 6 weeks) instrumented before Team-tier investment"
MET-002,§14,MVP,Data Confidence,"Voluntary-return instrumentation: digest open → in-app session rate; Companion-surface revisit rate"
MET-003,§14,MVP,Data Confidence,"Habit instrumentation: manual-sync cadence distribution derived from append-only connector_runs history; connections.last_success_at as latest-sync timestamp"
MET-004,§14,V1-gated,Data Confidence,"Opt-in rate for the self-view companion in Team orgs (measured; gated with W6-A)"
MET-005,§14,V1,Data Confidence,"Rec engagement: shown → tried/dismissed ratio (needs interaction state + exposure log)"
MET-006,§14,Baseline,Data Confidence,"Honesty-gap trend: % usage person-attributed per org over time, surfaced in-product"
MET-007,§14,MVP,Data Confidence,"Flywheel conversion observable: individual orgs → invites sent → team orgs created from existing invite tables"
ARCH-001,§15.1,Frozen,Infrastructure,"Topology unchanged: one Cloudflare Worker (OpenNext, custom src/worker.ts), two custom domains split via src/lib/domains.ts, Neon via Hyperdrive + Drizzle, Cron→Queues with DLQ, Better Auth (cookie cache off), Paddle MoR, SES, single DB with org_id everywhere, Personal = org of one"
ARCH-002,§15.1,Frozen,Infrastructure,"Perf model binding: new read surfaces thread onto an existing single flat Promise.all (readDashboardView pattern), never a new sequential query stage; Smart Placement stays OFF"
ARCH-003,§15.2,Frozen,Database,"Three-registration law: every net-new org-scoped table ships in the same PR with (1) an ADR, (2) a tenant-isolation SCOPED_READS entry with non-vacuous B-org seed, (3) an account-deletion registration"
ARCH-004,§15.2,Frozen,Backend,"All access via forOrg (src/db/org-scope.ts); cross-org reads only in src/db/system.ts from cron/queue paths; new API routes typed in src/contracts/api.ts and served through handleApi/appContext with the 402 gate by default"
ARCH-005,§15.3,V1,Product Architecture,"org-scope.ts and schema.ts modularized before Roles/catalog/Outcomes bolt on more namespaces (ADR for the public-API split)"
ARCH-006,§15.3,V1,Security,"assertTeamOnlyPseudonymized generalized with test-enforced surface completeness before the first Team-org self-view surface"
ARCH-007,§15.3,V1,Sync & Integrations,"OTel receiver spike fired immediately and resolved (GO/NO-GO recorded)"
ARCH-008,§15.3,V1,Product Architecture,"Roles ships before any role-specific catalog content"
ARCH-009,§15.3,V1,Documentation,"Catalog ADR includes the batched-read design (perf floor)"
ARCH-010,§15.3,Future,Product Architecture,"Outcomes stays Future explicitly until a real outcome signal exists"
ARCH-011,§15.4,Frozen,Documentation,"Frozen contracts list intact (src/contracts/**, schema.ts + drizzle/**, org-scope public API, credentials row format, connector-facts.md, fixtures shapes); every planned change carries its own ADR; CI guard trips on frozen-path edits without a docs/decisions change"
OQ-001,§16.1,Open,Documentation,"MVP exit-gate numbers (N weeks + threshold) need founder sign-off; default 6 weeks founder-org dogfood"
OQ-002,§16.2,Open,Documentation,"Custom Index Builder demotion needs explicit sign-off; spec default: demoted"
OQ-003,§16.3,Open,Documentation,"M365 Copilot / Google Workspace admin-API research must be answered before any role-expansion date"
OQ-004,§16.4,Open,Documentation,"'Conversation structure' scope must be clarified before any V1 design (collision with no-prompt-content)"
OQ-005,§16.5,Resolved,Documentation,"Daily cadence mechanic decided: daily content, no daily nag/streak; weekly-with-forgiveness if any streak mechanic ships"
OQ-006,§16.6,Open,Documentation,"Resident-agent go/no-go decided by measured last_success_at cadence"
OQ-007,§16.7,Resolved,Documentation,"Digest-in-MVP resolved: digest already shipped; only content extension remains"
OQ-008,§16.8,Open,Documentation,"Third-ladder line: capability profile card built as decomposition of the one band (decided autonomously per directive (ADR 0036), awaiting founder confirmation — see docs/product-signoffs.md)"
OQ-009,§16.9,Resolved,Documentation,"Exposure-logging reversal: founder-signed ADR 0038 reverses the don't-log stance (W7-7)"
